sex,f,a0,a1,a2,a3,a4,a5,a6,p0,p1,p2,p3,p4,p5,q0,q1,agebound,l0,l1,m0,m1,s0,s1
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,8.75,0,0,-0.0721,-0.0691,0.0039,-0.0092
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,9,0,0,-0.0691,-0.0658,-0.0092,-0.021
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,9.25,0,0,-0.0658,-0.0622,-0.021,-0.0313
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,9.5,0,0,-0.0622,-0.0586,-0.0313,-0.0397
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,9.75,0,0,-0.0586,-0.0549,-0.0397,-0.0461
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,10,0,0,-0.0549,-0.0513,-0.0461,-0.0504
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,10.25,0,0,-0.0513,-0.0476,-0.0504,-0.0528
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,10.5,0,0,-0.0476,-0.0437,-0.0528,-0.0535
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,10.75,0,0,-0.0437,-0.0395,-0.0535,-0.0525
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,11,0,0,-0.0395,-0.035,-0.0525,-0.0503
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,11.25,0,0,-0.035,-0.0299,-0.0503,-0.0472
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,11.5,0,0,-0.0299,-0.0241,-0.0472,-0.0432
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,11.75,0,0,-0.0241,-0.0176,-0.0432,-0.0387
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,12,0,0,-0.0176,-0.0101,-0.0387,-0.0339
